127.0.0.1 - - [25/Dec/2014:12:16:44 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [25/Dec/2014:12:16:52 +0300] "GET /LABA_FOUR/LoginForm.html HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [25/Dec/2014:12:16:52 +0300] "GET /LABA_FOUR/LoginForm.css HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [25/Dec/2014:12:17:16 +0300] "POST /LABA_FOUR/loginServlet HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [25/Dec/2014:12:17:30 +0300] "POST /LABA_FOUR/regServlet HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [25/Dec/2014:12:17:49 +0300] "POST /LABA_FOUR/loginServlet HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [25/Dec/2014:12:17:49 +0300] "GET /LABA_FOUR/trains.css HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [25/Dec/2014:12:18:25 +0300] "POST /LABA_FOUR/addServlet HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [25/Dec/2014:12:18:28 +0300] "POST /LABA_FOUR/loginServlet HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [25/Dec/2014:12:18:28 +0300] "GET /LABA_FOUR/LoginForm.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2014:12:18:28 +0300] "GET /LABA_FOUR/trains.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2014:12:18:40 +0300] "POST /LABA_FOUR/delServlet HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [25/Dec/2014:12:18:43 +0300] "POST /LABA_FOUR/loginServlet HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [25/Dec/2014:12:18:43 +0300] "GET /LABA_FOUR/trains.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2014:12:18:43 +0300] "GET /LABA_FOUR/LoginForm.css HTTP/1.1" 304 -
